"anio_hecho","mes_hecho","cantidad_delitos"
"2018","Febrero","1"
"2019","Abril","37"
"2019","Agosto","34"
"2019","Diciembre","32"
"2019","Enero","51"
"2019","Febrero","43"
"2019","Julio","42"
"2019","Junio","47"
"2019","Marzo","43"
"2019","Mayo","61"
"2019","Noviembre","53"
"2019","Octubre","42"
"2019","Septiembre","50"
"2020","Abril","38"
"2020","Agosto","33"
"2020","Diciembre","44"
"2020","Enero","35"
"2020","Febrero","42"
"2020","Julio","42"
"2020","Junio","54"
"2020","Marzo","58"
"2020","Mayo","39"
"2020","Noviembre","49"
"2020","Octubre","46"
"2020","Septiembre","36"
"2021","Abril","38"
"2021","Agosto","40"
"2021","Diciembre","37"
"2021","Enero","40"
"2021","Febrero","43"
"2021","Julio","34"
"2021","Junio","41"
"2021","Marzo","62"
"2021","Mayo","51"
"2021","Noviembre","37"
"2021","Octubre","45"
"2021","Septiembre","41"
"NA","NA","1"
