"anio_hecho","mes_hecho","alcaldia_hecho","tipo_delito_mas_comun","cantidad_delito_mas_comun"
"2022","Abril","ALVARO OBREGON","FRAUDE","7"
"2022","Agosto","ALVARO OBREGON","FRAUDE","9"
"2022","Diciembre","ALVARO OBREGON","FRAUDE","39"
"2022","Enero","ALVARO OBREGON","VIOLENCIA FAMILIAR","15"
"2022","Febrero","ALVARO OBREGON","VIOLENCIA FAMILIAR","5"
"2022","Julio","ALVARO OBREGON","FRAUDE","10"
"2022","Junio","ALVARO OBREGON","FRAUDE","9"
"2022","Marzo","ALVARO OBREGON","FRAUDE","5"
"2022","Mayo","ALVARO OBREGON","FRAUDE","4"
"2022","Noviembre","ALVARO OBREGON","FRAUDE","30"
"2022","Octubre","ALVARO OBREGON","FRAUDE","24"
"2022","Septiembre","ALVARO OBREGON","FRAUDE","13"
"2023","Abril","ALVARO OBREGON","VIOLENCIA FAMILIAR","236"
"2023","Enero","ALVARO OBREGON","VIOLENCIA FAMILIAR","199"
"2023","Febrero","ALVARO OBREGON","VIOLENCIA FAMILIAR","245"
"2023","Julio","ALVARO OBREGON","VIOLENCIA FAMILIAR","192"
"2023","Junio","ALVARO OBREGON","VIOLENCIA FAMILIAR","259"
"2023","Marzo","ALVARO OBREGON","VIOLENCIA FAMILIAR","267"
"2023","Mayo","ALVARO OBREGON","VIOLENCIA FAMILIAR","230"
"NA","NA","ALVARO OBREGON","CORRUPCIÓN DE PERSONAS MENORES DE EDAD O PERSONAS QUE NO TENGAN CAPACIDAD PARA COMPRENDER EL SIGNIFICADO DEL HECHO O DE PERSONAS QUE NO TENGAN CAPACIDAD DE RESISTIR LA CONDUCTA","1"
"2022","Abril","AZCAPOTZALCO","FRAUDE","5"
"2022","Agosto","AZCAPOTZALCO","FRAUDE","6"
"2022","Diciembre","AZCAPOTZALCO","FRAUDE","24"
"2022","Enero","AZCAPOTZALCO","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","4"
"2022","Febrero","AZCAPOTZALCO","ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN","5"
"2022","Julio","AZCAPOTZALCO","ACOSO SEXUAL","2"
"2022","Junio","AZCAPOTZALCO","VIOLENCIA FAMILIAR","3"
"2022","Marzo","AZCAPOTZALCO","VIOLENCIA FAMILIAR","5"
"2022","Mayo","AZCAPOTZALCO","FALSEDAD ANTE AUTORIDADES","4"
"2022","Noviembre","AZCAPOTZALCO","DESPOJO","10"
"2022","Octubre","AZCAPOTZALCO","FRAUDE","14"
"2022","Septiembre","AZCAPOTZALCO","FRAUDE","10"
"2023","Abril","AZCAPOTZALCO","VIOLENCIA FAMILIAR","136"
"2023","Enero","AZCAPOTZALCO","VIOLENCIA FAMILIAR","125"
"2023","Febrero","AZCAPOTZALCO","VIOLENCIA FAMILIAR","125"
"2023","Julio","AZCAPOTZALCO","VIOLENCIA FAMILIAR","74"
"2023","Junio","AZCAPOTZALCO","VIOLENCIA FAMILIAR","116"
"2023","Marzo","AZCAPOTZALCO","VIOLENCIA FAMILIAR","164"
"2023","Mayo","AZCAPOTZALCO","VIOLENCIA FAMILIAR","139"
"NA","NA","AZCAPOTZALCO","VIOLENCIA FAMILIAR","1"
"2022","Abril","BENITO JUAREZ","FRAUDE","16"
"2022","Agosto","BENITO JUAREZ","FRAUDE","25"
"2022","Diciembre","BENITO JUAREZ","FRAUDE","87"
"2022","Enero","BENITO JUAREZ","FRAUDE","16"
"2022","Febrero","BENITO JUAREZ","FRAUDE","13"
"2022","Julio","BENITO JUAREZ","FRAUDE","18"
"2022","Junio","BENITO JUAREZ","FRAUDE","27"
"2022","Marzo","BENITO JUAREZ","FRAUDE","20"
"2022","Mayo","BENITO JUAREZ","FRAUDE","15"
"2022","Noviembre","BENITO JUAREZ","FRAUDE","44"
"2022","Octubre","BENITO JUAREZ","FRAUDE","39"
"2022","Septiembre","BENITO JUAREZ","FRAUDE","32"
"2023","Abril","BENITO JUAREZ","FRAUDE","167"
"2023","Enero","BENITO JUAREZ","FRAUDE","159"
"2023","Febrero","BENITO JUAREZ","FRAUDE","175"
"2023","Julio","BENITO JUAREZ","ROBO DE ACCESORIOS DE AUTO","112"
"2023","Junio","BENITO JUAREZ","FRAUDE","181"
"2023","Marzo","BENITO JUAREZ","ROBO DE ACCESORIOS DE AUTO","167"
"2023","Mayo","BENITO JUAREZ","ROBO DE ACCESORIOS DE AUTO","176"
"2022","Abril","CDMX (indeterminada)","LA ADMINISTRACION DE JUSTICIA","6"
"2022","Agosto","CDMX (indeterminada)","VIOLENCIA FAMILIAR","3"
"2022","Diciembre","CDMX (indeterminada)","FRAUDE","46"
"2022","Enero","CDMX (indeterminada)","CONTRA EL CUMPLIMIENTO DE LA OBLIGACION ALIMENTARIA","3"
"2022","Febrero","CDMX (indeterminada)","DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL","5"
"2022","Julio","CDMX (indeterminada)","TORTURA","2"
"2022","Junio","CDMX (indeterminada)","CONTRA EL CUMPLIMIENTO DE LA OBLIGACION ALIMENTARIA","5"
"2022","Marzo","CDMX (indeterminada)","CONTRA EL CUMPLIMIENTO DE LA OBLIGACION ALIMENTARIA","3"
"2022","Mayo","CDMX (indeterminada)","FALSEDAD ANTE AUTORIDADES","2"
"2022","Noviembre","CDMX (indeterminada)","FRAUDE","5"
"2022","Octubre","CDMX (indeterminada)","TORTURA","4"
"2022","Septiembre","CDMX (indeterminada)","LA ADMINISTRACION DE JUSTICIA","6"
"2023","Abril","CDMX (indeterminada)","FRAUDE","62"
"2023","Enero","CDMX (indeterminada)","FRAUDE","92"
"2023","Febrero","CDMX (indeterminada)","FRAUDE","99"
"2023","Julio","CDMX (indeterminada)","FRAUDE","62"
"2023","Junio","CDMX (indeterminada)","FRAUDE","92"
"2023","Marzo","CDMX (indeterminada)","FRAUDE","110"
"2023","Mayo","CDMX (indeterminada)","FRAUDE","72"
"2022","Abril","COYOACAN","VIOLENCIA FAMILIAR","4"
"2022","Agosto","COYOACAN","FRAUDE","14"
"2022","Diciembre","COYOACAN","FRAUDE","36"
"2022","Enero","COYOACAN","VIOLENCIA FAMILIAR","14"
"2022","Febrero","COYOACAN","DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A VIAS DE COMUNICACION","2"
"2022","Julio","COYOACAN","VIOLENCIA FAMILIAR","7"
"2022","Junio","COYOACAN","FRAUDE","9"
"2022","Marzo","COYOACAN","FRAUDE","6"
"2022","Mayo","COYOACAN","FRAUDE","6"
"2022","Noviembre","COYOACAN","FRAUDE","21"
"2022","Octubre","COYOACAN","FRAUDE","16"
"2022","Septiembre","COYOACAN","VIOLENCIA FAMILIAR","9"
"2023","Abril","COYOACAN","VIOLENCIA FAMILIAR","190"
"2023","Enero","COYOACAN","VIOLENCIA FAMILIAR","186"
"2023","Febrero","COYOACAN","VIOLENCIA FAMILIAR","201"
"2023","Julio","COYOACAN","VIOLENCIA FAMILIAR","170"
"2023","Junio","COYOACAN","VIOLENCIA FAMILIAR","190"
"2023","Marzo","COYOACAN","VIOLENCIA FAMILIAR","268"
"2023","Mayo","COYOACAN","VIOLENCIA FAMILIAR","205"
"2022","Abril","CUAJIMALPA DE MORELOS","FRAUDE","3"
"2022","Agosto","CUAJIMALPA DE MORELOS","VIOLACION TUMULTUARIA EQUIPARADA","1"
"2022","Diciembre","CUAJIMALPA DE MORELOS","FRAUDE","19"
"2022","Enero","CUAJIMALPA DE MORELOS","DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL","3"
"2022","Febrero","CUAJIMALPA DE MORELOS","DAÑO EN PROPIEDAD AJENA CULPOSA","1"
"2022","Julio","CUAJIMALPA DE MORELOS","FRAUDE","6"
"2022","Junio","CUAJIMALPA DE MORELOS","FRAUDE","6"
"2022","Marzo","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","2"
"2022","Mayo","CUAJIMALPA DE MORELOS","FRAUDE","2"
"2022","Noviembre","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","6"
"2022","Octubre","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","6"
"2022","Septiembre","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","5"
"2023","Abril","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","67"
"2023","Enero","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","64"
"2023","Febrero","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","61"
"2023","Julio","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","51"
