"anio_hecho","mes_hecho","tipo_delito_mas_comun","cantidad_delito_mas_comun"
"2022","Septiembre","FRAUDE","215"
"2022","Octubre","FRAUDE","290"
"2022","Noviembre","FRAUDE","388"
"2022","Mayo","FRAUDE","138"
"2022","Marzo","FRAUDE","104"
"2022","Junio","FRAUDE","133"
"2022","Julio","FRAUDE","143"
"2022","Febrero","FRAUDE","85"
"2022","Enero","VIOLENCIA FAMILIAR","130"
"2022","Diciembre","FRAUDE","699"
"2022","Agosto","FRAUDE","216"
"2022","Abril","FRAUDE","103"
"2023","Mayo","VIOLENCIA FAMILIAR","3196"
"2023","Marzo","VIOLENCIA FAMILIAR","3526"
"2023","Junio","VIOLENCIA FAMILIAR","3233"
"2023","Julio","VIOLENCIA FAMILIAR","2486"
"2023","Febrero","VIOLENCIA FAMILIAR","3107"
"2023","Enero","VIOLENCIA FAMILIAR","2858"
"2023","Abril","VIOLENCIA FAMILIAR","3176"
"NA","NA","VIOLENCIA FAMILIAR","5"
