"anio_hecho","mes_hecho","cantidad_suicicdios"
"2014","Mayo","3"
"2015","Junio","3"
"2015","Julio","3"
"2015","Noviembre","3"
"2016","Enero","99"
"2016","Febrero","84"
"2016","Marzo","69"
"2016","Abril","105"
"2016","Mayo","84"
"2016","Junio","69"
"2016","Julio","123"
"2016","Agosto","120"
"2016","Septiembre","90"
"2016","Octubre","54"
"2016","Noviembre","117"
"2016","Diciembre","96"
"2017","Enero","90"
"2017","Febrero","84"
"2017","Marzo","57"
"2017","Abril","102"
"2017","Mayo","102"
"2017","Junio","57"
"2017","Julio","72"
"2017","Agosto","84"
"2017","Septiembre","72"
"2017","Octubre","126"
"2017","Noviembre","66"
"2017","Diciembre","144"
"2018","Enero","99"
"2018","Febrero","81"
"2018","Marzo","99"
"2018","Abril","102"
"2018","Mayo","81"
"2018","Junio","87"
"2018","Julio","90"
"2018","Agosto","102"
"2018","Septiembre","72"
"2018","Octubre","90"
"2018","Noviembre","102"
"2018","Diciembre","108"
