"anio_hecho","mes_hecho","alcaldia_hecho","tipo_delito_mas_comun","cantidad_delito_mas_comun"
"2016","Abril","ALVARO OBREGON","VIOLENCIA FAMILIAR","312"
"2016","Agosto","ALVARO OBREGON","ROBO DE OBJETOS","465"
"2016","Diciembre","ALVARO OBREGON","VIOLENCIA FAMILIAR","303"
"2016","Enero","ALVARO OBREGON","DENUNCIA DE HECHOS","300"
"2016","Febrero","ALVARO OBREGON","DENUNCIA DE HECHOS","351"
"2016","Julio","ALVARO OBREGON","ROBO DE OBJETOS","429"
"2016","Junio","ALVARO OBREGON","VIOLENCIA FAMILIAR","354"
"2016","Marzo","ALVARO OBREGON","VIOLENCIA FAMILIAR","291"
"2016","Mayo","ALVARO OBREGON","VIOLENCIA FAMILIAR","423"
"2016","Noviembre","ALVARO OBREGON","ROBO A NEGOCIO SIN VIOLENCIA","270"
"2016","Octubre","ALVARO OBREGON","VIOLENCIA FAMILIAR","318"
"2016","Septiembre","ALVARO OBREGON","VIOLENCIA FAMILIAR","357"
"2017","Abril","ALVARO OBREGON","VIOLENCIA FAMILIAR","291"
"2017","Agosto","ALVARO OBREGON","VIOLENCIA FAMILIAR","336"
"2017","Diciembre","ALVARO OBREGON","VIOLENCIA FAMILIAR","306"
"2017","Enero","ALVARO OBREGON","VIOLENCIA FAMILIAR","294"
"2017","Febrero","ALVARO OBREGON","DENUNCIA DE HECHOS","366"
"2017","Julio","ALVARO OBREGON","DENUNCIA DE HECHOS","324"
"2017","Junio","ALVARO OBREGON","ROBO DE OBJETOS","324"
"2017","Marzo","ALVARO OBREGON","VIOLENCIA FAMILIAR","300"
"2017","Mayo","ALVARO OBREGON","VIOLENCIA FAMILIAR","348"
"2017","Noviembre","ALVARO OBREGON","DENUNCIA DE HECHOS","342"
"2017","Octubre","ALVARO OBREGON","VIOLENCIA FAMILIAR","333"
"2017","Septiembre","ALVARO OBREGON","VIOLENCIA FAMILIAR","276"
"2018","Abril","ALVARO OBREGON","VIOLENCIA FAMILIAR","417"
"2018","Agosto","ALVARO OBREGON","VIOLENCIA FAMILIAR","411"
"2018","Diciembre","ALVARO OBREGON","VIOLENCIA FAMILIAR","300"
"2018","Enero","ALVARO OBREGON","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","363"
"2018","Febrero","ALVARO OBREGON","VIOLENCIA FAMILIAR","363"
"2018","Julio","ALVARO OBREGON","VIOLENCIA FAMILIAR","414"
"2018","Junio","ALVARO OBREGON","VIOLENCIA FAMILIAR","372"
"2018","Marzo","ALVARO OBREGON","VIOLENCIA FAMILIAR","387"
"2018","Mayo","ALVARO OBREGON","VIOLENCIA FAMILIAR","318"
"2018","Noviembre","ALVARO OBREGON","VIOLENCIA FAMILIAR","426"
"2018","Octubre","ALVARO OBREGON","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","351"
"2018","Septiembre","ALVARO OBREGON","VIOLENCIA FAMILIAR","447"
"NA","NA","ALVARO OBREGON","VIOLENCIA FAMILIAR","9"
"2016","Abril","AZCAPOTZALCO","ROBO A NEGOCIO SIN VIOLENCIA","231"
"2016","Agosto","AZCAPOTZALCO","ROBO A NEGOCIO SIN VIOLENCIA","315"
"2016","Diciembre","AZCAPOTZALCO","ROBO A NEGOCIO SIN VIOLENCIA","252"
"2016","Enero","AZCAPOTZALCO","VIOLENCIA FAMILIAR","210"
"2016","Febrero","AZCAPOTZALCO","ROBO A NEGOCIO SIN VIOLENCIA","219"
"2016","Julio","AZCAPOTZALCO","ROBO DE OBJETOS","234"
"2016","Junio","AZCAPOTZALCO","ROBO A NEGOCIO SIN VIOLENCIA","186"
"2016","Marzo","AZCAPOTZALCO","VIOLENCIA FAMILIAR","300"
"2016","Mayo","AZCAPOTZALCO","VIOLENCIA FAMILIAR","231"
"2016","Noviembre","AZCAPOTZALCO","ROBO A NEGOCIO SIN VIOLENCIA","210"
"2016","Octubre","AZCAPOTZALCO","ROBO A NEGOCIO SIN VIOLENCIA","222"
"2016","Septiembre","AZCAPOTZALCO","ROBO A NEGOCIO SIN VIOLENCIA","225"
"2017","Abril","AZCAPOTZALCO","VIOLENCIA FAMILIAR","237"
"2017","Agosto","AZCAPOTZALCO","ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA","291"
"2017","Diciembre","AZCAPOTZALCO","ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA","297"
"2017","Enero","AZCAPOTZALCO","VIOLENCIA FAMILIAR","210"
"2017","Febrero","AZCAPOTZALCO","ROBO A NEGOCIO SIN VIOLENCIA","249"
"2017","Julio","AZCAPOTZALCO","ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA","258"
"2017","Junio","AZCAPOTZALCO","ROBO A NEGOCIO SIN VIOLENCIA","249"
"2017","Marzo","AZCAPOTZALCO","ROBO A NEGOCIO SIN VIOLENCIA","231"
"2017","Mayo","AZCAPOTZALCO","ROBO A NEGOCIO SIN VIOLENCIA","288"
"2017","Noviembre","AZCAPOTZALCO","ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA","327"
"2017","Octubre","AZCAPOTZALCO","ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA","333"
"2017","Septiembre","AZCAPOTZALCO","ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA","270"
"2018","Abril","AZCAPOTZALCO","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","423"
"2018","Agosto","AZCAPOTZALCO","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","330"
"2018","Diciembre","AZCAPOTZALCO","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","264"
"2018","Enero","AZCAPOTZALCO","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","372"
"2018","Febrero","AZCAPOTZALCO","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","390"
"2018","Julio","AZCAPOTZALCO","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","399"
"2018","Junio","AZCAPOTZALCO","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","321"
"2018","Marzo","AZCAPOTZALCO","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","438"
"2018","Mayo","AZCAPOTZALCO","ROBO A NEGOCIO SIN VIOLENCIA","336"
"2018","Noviembre","AZCAPOTZALCO","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","282"
"2018","Octubre","AZCAPOTZALCO","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","390"
"2018","Septiembre","AZCAPOTZALCO","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","423"
"NA","NA","AZCAPOTZALCO","LESIONES INTENCIONALES POR GOLPES","3"
"2016","Abril","BENITO JUAREZ","ROBO A NEGOCIO SIN VIOLENCIA","387"
"2016","Agosto","BENITO JUAREZ","ROBO DE OBJETOS","495"
"2016","Diciembre","BENITO JUAREZ","ROBO A NEGOCIO SIN VIOLENCIA","459"
"2016","Enero","BENITO JUAREZ","FRAUDE","378"
"2016","Febrero","BENITO JUAREZ","DENUNCIA DE HECHOS","348"
"2016","Julio","BENITO JUAREZ","ROBO DE OBJETOS","441"
"2016","Junio","BENITO JUAREZ","FRAUDE","366"
"2016","Marzo","BENITO JUAREZ","FRAUDE","342"
"2016","Mayo","BENITO JUAREZ","FRAUDE","363"
"2016","Noviembre","BENITO JUAREZ","ROBO A NEGOCIO SIN VIOLENCIA","489"
"2016","Octubre","BENITO JUAREZ","ROBO A NEGOCIO SIN VIOLENCIA","573"
"2016","Septiembre","BENITO JUAREZ","ROBO A NEGOCIO SIN VIOLENCIA","399"
"2017","Abril","BENITO JUAREZ","ROBO A NEGOCIO SIN VIOLENCIA","414"
"2017","Agosto","BENITO JUAREZ","ROBO DE ACCESORIOS DE AUTO","510"
"2017","Diciembre","BENITO JUAREZ","ROBO DE ACCESORIOS DE AUTO","603"
"2017","Enero","BENITO JUAREZ","ROBO A NEGOCIO SIN VIOLENCIA","462"
"2017","Febrero","BENITO JUAREZ","ROBO A NEGOCIO SIN VIOLENCIA","399"
"2017","Julio","BENITO JUAREZ","ROBO DE ACCESORIOS DE AUTO","432"
"2017","Junio","BENITO JUAREZ","FRAUDE","441"
"2017","Marzo","BENITO JUAREZ","FRAUDE","417"
"2017","Mayo","BENITO JUAREZ","ROBO DE ACCESORIOS DE AUTO","474"
"2017","Noviembre","BENITO JUAREZ","ROBO DE ACCESORIOS DE AUTO","588"
"2017","Octubre","BENITO JUAREZ","ROBO DE ACCESORIOS DE AUTO","540"
"2017","Septiembre","BENITO JUAREZ","ROBO DE ACCESORIOS DE AUTO","477"
"2018","Abril","BENITO JUAREZ","ROBO DE ACCESORIOS DE AUTO","648"
"2018","Agosto","BENITO JUAREZ","ROBO A NEGOCIO SIN VIOLENCIA","525"
"2018","Diciembre","BENITO JUAREZ","ROBO DE ACCESORIOS DE AUTO","432"
"2018","Enero","BENITO JUAREZ","ROBO DE ACCESORIOS DE AUTO","741"
"2018","Febrero","BENITO JUAREZ","ROBO DE ACCESORIOS DE AUTO","606"
"2018","Julio","BENITO JUAREZ","ROBO A NEGOCIO SIN VIOLENCIA","573"
"2018","Junio","BENITO JUAREZ","ROBO A NEGOCIO SIN VIOLENCIA","465"
"2018","Marzo","BENITO JUAREZ","ROBO DE ACCESORIOS DE AUTO","597"
"2018","Mayo","BENITO JUAREZ","ROBO A NEGOCIO SIN VIOLENCIA","570"
"2018","Noviembre","BENITO JUAREZ","ROBO DE ACCESORIOS DE AUTO","474"
"2018","Octubre","BENITO JUAREZ","ROBO DE ACCESORIOS DE AUTO","501"
"2018","Septiembre","BENITO JUAREZ","ROBO A NEGOCIO SIN VIOLENCIA","417"
"NA","NA","BENITO JUAREZ","DENUNCIA DE HECHOS","12"
"2018","Abril","CDMX","VIOLENCIA FAMILIAR","3"
"2018","Agosto","CDMX","VIOLENCIA FAMILIAR","6"
"2018","Diciembre","CDMX","VIOLENCIA FAMILIAR","6"
"2018","Enero","CDMX","VIOLENCIA FAMILIAR","6"
"2018","Febrero","CDMX","VIOLENCIA FAMILIAR","9"
"2018","Julio","CDMX","VIOLENCIA FAMILIAR","6"
"2018","Junio","CDMX","VIOLENCIA FAMILIAR","3"
"2018","Marzo","CDMX","VIOLENCIA FAMILIAR","3"
"2018","Noviembre","CDMX","VIOLENCIA FAMILIAR","3"
"2018","Octubre","CDMX","VIOLENCIA FAMILIAR","3"
"2018","Septiembre","CDMX","VIOLENCIA FAMILIAR","6"
"2016","Abril","COYOACAN","VIOLENCIA FAMILIAR","390"
"2016","Agosto","COYOACAN","ROBO DE OBJETOS","393"
"2016","Diciembre","COYOACAN","ROBO A NEGOCIO SIN VIOLENCIA","267"
"2016","Enero","COYOACAN","ROBO A NEGOCIO SIN VIOLENCIA","294"
"2016","Febrero","COYOACAN","VIOLENCIA FAMILIAR","387"
"2016","Julio","COYOACAN","ROBO A NEGOCIO SIN VIOLENCIA","300"
"2016","Junio","COYOACAN","ROBO DE OBJETOS","336"
"2016","Marzo","COYOACAN","VIOLENCIA FAMILIAR","330"
"2016","Mayo","COYOACAN","VIOLENCIA FAMILIAR","366"
"2016","Noviembre","COYOACAN","ROBO A NEGOCIO SIN VIOLENCIA","357"
"2016","Octubre","COYOACAN","VIOLENCIA FAMILIAR","300"
"2016","Septiembre","COYOACAN","ROBO DE OBJETOS","315"
"2017","Abril","COYOACAN","ROBO DE OBJETOS","357"
"2017","Agosto","COYOACAN","VIOLENCIA FAMILIAR","339"
"2017","Diciembre","COYOACAN","DENUNCIA DE HECHOS","315"
"2017","Enero","COYOACAN","ROBO DE OBJETOS","330"
"2017","Febrero","COYOACAN","ROBO DE OBJETOS","324"
"2017","Julio","COYOACAN","VIOLENCIA FAMILIAR","300"
"2017","Junio","COYOACAN","ROBO DE OBJETOS","375"
"2017","Marzo","COYOACAN","ROBO DE OBJETOS","414"
"2017","Mayo","COYOACAN","DENUNCIA DE HECHOS","393"
"2017","Noviembre","COYOACAN","FALSIFICACION DE TITULOS AL PORTADOR Y DOCUMENTOS DE CREDITO PUBLICO","315"
"2017","Octubre","COYOACAN","FALSIFICACION DE TITULOS AL PORTADOR Y DOCUMENTOS DE CREDITO PUBLICO","312"
"2017","Septiembre","COYOACAN","DENUNCIA DE HECHOS","309"
"2018","Abril","COYOACAN","VIOLENCIA FAMILIAR","390"
"2018","Agosto","COYOACAN","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","375"
"2018","Diciembre","COYOACAN","ROBO A NEGOCIO SIN VIOLENCIA","231"
"2018","Enero","COYOACAN","ROBO A NEGOCIO SIN VIOLENCIA","312"
"2018","Febrero","COYOACAN","VIOLENCIA FAMILIAR","339"
"2018","Julio","COYOACAN","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","351"
"2018","Junio","COYOACAN","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","363"
"2018","Marzo","COYOACAN","VIOLENCIA FAMILIAR","399"
"2018","Mayo","COYOACAN","VIOLENCIA FAMILIAR","384"
"2018","Noviembre","COYOACAN","ROBO A NEGOCIO SIN VIOLENCIA","291"
"2018","Octubre","COYOACAN","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","360"
"2018","Septiembre","COYOACAN","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","405"
"NA","NA","COYOACAN","ROBO A CASA HABITACION SIN VIOLENCIA","6"
"2016","Abril","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","75"
"2016","Agosto","CUAJIMALPA DE MORELOS","ROBO DE OBJETOS","93"
"2016","Diciembre","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","57"
"2016","Enero","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","81"
"2016","Febrero","CUAJIMALPA DE MORELOS","ROBO DE OBJETOS","66"
"2016","Julio","CUAJIMALPA DE MORELOS","ROBO DE OBJETOS","87"
"2016","Junio","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","66"
"2016","Marzo","CUAJIMALPA DE MORELOS","ROBO DE OBJETOS","84"
"2016","Mayo","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","87"
"2016","Noviembre","CUAJIMALPA DE MORELOS","ROBO A NEGOCIO SIN VIOLENCIA","84"
"2016","Octubre","CUAJIMALPA DE MORELOS","ROBO A NEGOCIO SIN VIOLENCIA","87"
"2016","Septiembre","CUAJIMALPA DE MORELOS","ROBO A NEGOCIO SIN VIOLENCIA","84"
"2017","Abril","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","63"
"2017","Agosto","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","75"
"2017","Diciembre","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","75"
"2017","Enero","CUAJIMALPA DE MORELOS","FRAUDE","57"
"2017","Febrero","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","93"
"2017","Julio","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","81"
"2017","Junio","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","87"
"2017","Marzo","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","69"
"2017","Mayo","CUAJIMALPA DE MORELOS","ROBO DE OBJETOS","87"
"2017","Noviembre","CUAJIMALPA DE MORELOS","ROBO A NEGOCIO SIN VIOLENCIA","66"
"2017","Octubre","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","96"
"2017","Septiembre","CUAJIMALPA DE MORELOS","ROBO DE OBJETOS","78"
"2018","Abril","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","84"
"2018","Agosto","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","72"
"2018","Diciembre","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","81"
"2018","Enero","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","84"
"2018","Febrero","CUAJIMALPA DE MORELOS","ROBO A NEGOCIO SIN VIOLENCIA","75"
"2018","Julio","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","81"
"2018","Junio","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","108"
"2018","Marzo","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","105"
"2018","Mayo","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","132"
"2018","Noviembre","CUAJIMALPA DE MORELOS","VIOLENCIA FAMILIAR","87"
"2018","Octubre","CUAJIMALPA DE MORELOS","ROBO A NEGOCIO SIN VIOLENCIA","90"
"2018","Septiembre","CUAJIMALPA DE MORELOS","ROBO A NEGOCIO SIN VIOLENCIA","81"
"NA","NA","CUAJIMALPA DE MORELOS","DENUNCIA DE HECHOS","3"
"2016","Abril","CUAUHTEMOC","FRAUDE","774"
"2016","Agosto","CUAUHTEMOC","ROBO DE OBJETOS","924"
"2016","Diciembre","CUAUHTEMOC","DENUNCIA DE HECHOS","675"
"2016","Enero","CUAUHTEMOC","FRAUDE","723"
"2016","Febrero","CUAUHTEMOC","FRAUDE","843"
"2016","Julio","CUAUHTEMOC","ROBO DE OBJETOS","918"
"2016","Junio","CUAUHTEMOC","ROBO DE OBJETOS","819"
"2016","Marzo","CUAUHTEMOC","ROBO DE OBJETOS","732"
"2016","Mayo","CUAUHTEMOC","ROBO DE OBJETOS","732"
"2016","Noviembre","CUAUHTEMOC","DENUNCIA DE HECHOS","777"
"2016","Octubre","CUAUHTEMOC","ROBO DE OBJETOS","750"
"2016","Septiembre","CUAUHTEMOC","ROBO DE OBJETOS","696"
"2017","Abril","CUAUHTEMOC","ROBO DE OBJETOS","912"
"2017","Agosto","CUAUHTEMOC","ROBO DE OBJETOS","870"
"2017","Diciembre","CUAUHTEMOC","ROBO DE OBJETOS","750"
"2017","Enero","CUAUHTEMOC","DENUNCIA DE HECHOS","903"
"2017","Febrero","CUAUHTEMOC","DENUNCIA DE HECHOS","867"
"2017","Julio","CUAUHTEMOC","DENUNCIA DE HECHOS","801"
"2017","Junio","CUAUHTEMOC","DENUNCIA DE HECHOS","927"
"2017","Marzo","CUAUHTEMOC","DENUNCIA DE HECHOS","891"
"2017","Mayo","CUAUHTEMOC","DENUNCIA DE HECHOS","1029"
"2017","Noviembre","CUAUHTEMOC","ROBO DE OBJETOS","867"
"2017","Octubre","CUAUHTEMOC","ROBO DE OBJETOS","816"
"2017","Septiembre","CUAUHTEMOC","DENUNCIA DE HECHOS","771"
"2018","Abril","CUAUHTEMOC","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","816"
"2018","Agosto","CUAUHTEMOC","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","1020"
"2018","Diciembre","CUAUHTEMOC","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","966"
"2018","Enero","CUAUHTEMOC","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","729"
"2018","Febrero","CUAUHTEMOC","ROBO DE OBJETOS","843"
"2018","Julio","CUAUHTEMOC","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","924"
"2018","Junio","CUAUHTEMOC","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","882"
"2018","Marzo","CUAUHTEMOC","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","888"
"2018","Mayo","CUAUHTEMOC","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","936"
"2018","Noviembre","CUAUHTEMOC","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","1395"
"2018","Octubre","CUAUHTEMOC","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","1476"
"2018","Septiembre","CUAUHTEMOC","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","1131"
"NA","NA","CUAUHTEMOC","DENUNCIA DE HECHOS","9"
"2016","Abril","FUERA DE CDMX","LESIONES INTENCIONALES POR ARMA DE FUEGO","108"
"2016","Agosto","FUERA DE CDMX","DENUNCIA DE HECHOS","69"
"2016","Diciembre","FUERA DE CDMX","DENUNCIA DE HECHOS","66"
"2016","Enero","FUERA DE CDMX","DENUNCIA DE HECHOS","81"
"2016","Febrero","FUERA DE CDMX","DENUNCIA DE HECHOS","57"
"2016","Julio","FUERA DE CDMX","DENUNCIA DE HECHOS","48"
"2016","Junio","FUERA DE CDMX","DENUNCIA DE HECHOS","63"
"2016","Marzo","FUERA DE CDMX","DENUNCIA DE HECHOS","60"
"2016","Mayo","FUERA DE CDMX","DENUNCIA DE HECHOS","123"
"2016","Noviembre","FUERA DE CDMX","DENUNCIA DE HECHOS","66"
"2016","Octubre","FUERA DE CDMX","LESIONES INTENCIONALES POR ARMA DE FUEGO","69"
"2016","Septiembre","FUERA DE CDMX","LESIONES INTENCIONALES POR ARMA DE FUEGO","84"
"2017","Abril","FUERA DE CDMX","LESIONES INTENCIONALES POR ARMA DE FUEGO","63"
"2017","Agosto","FUERA DE CDMX","LESIONES INTENCIONALES POR ARMA DE FUEGO","105"
"2017","Diciembre","FUERA DE CDMX","LESIONES INTENCIONALES POR ARMA DE FUEGO","111"
"2017","Enero","FUERA DE CDMX","DENUNCIA DE HECHOS","72"
"2017","Febrero","FUERA DE CDMX","LESIONES INTENCIONALES POR ARMA DE FUEGO","69"
"2017","Julio","FUERA DE CDMX","ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA","105"
"2017","Junio","FUERA DE CDMX","LESIONES INTENCIONALES POR ARMA DE FUEGO","93"
"2017","Marzo","FUERA DE CDMX","LESIONES INTENCIONALES POR ARMA DE FUEGO","60"
"2017","Mayo","FUERA DE CDMX","DENUNCIA DE HECHOS","66"
"2017","Noviembre","FUERA DE CDMX","ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA","90"
"2017","Octubre","FUERA DE CDMX","ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA","117"
"2017","Septiembre","FUERA DE CDMX","LESIONES INTENCIONALES POR ARMA DE FUEGO","78"
"2018","Abril","FUERA DE CDMX","LESIONES INTENCIONALES POR ARMA DE FUEGO","39"
"2018","Agosto","FUERA DE CDMX","LESIONES INTENCIONALES POR ARMA DE FUEGO","63"
"2018","Diciembre","FUERA DE CDMX","ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA","33"
"2018","Enero","FUERA DE CDMX","LESIONES INTENCIONALES POR ARMA DE FUEGO","90"
"2018","Febrero","FUERA DE CDMX","DENUNCIA DE HECHOS","48"
"2018","Julio","FUERA DE CDMX","LESIONES INTENCIONALES POR ARMA DE FUEGO","66"
"2018","Junio","FUERA DE CDMX","ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA","75"
"2018","Marzo","FUERA DE CDMX","VIOLENCIA FAMILIAR","51"
"2018","Mayo","FUERA DE CDMX","LESIONES INTENCIONALES POR ARMA DE FUEGO","69"
"2018","Noviembre","FUERA DE CDMX","ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA","51"
"2018","Octubre","FUERA DE CDMX","VIOLENCIA FAMILIAR","54"
"2018","Septiembre","FUERA DE CDMX","VIOLENCIA FAMILIAR","54"
"NA","NA","FUERA DE CDMX","DENUNCIA DE HECHOS","12"
"2016","Abril","GUSTAVO A. MADERO","VIOLENCIA FAMILIAR","576"
"2016","Agosto","GUSTAVO A. MADERO","VIOLENCIA FAMILIAR","453"
"2016","Diciembre","GUSTAVO A. MADERO","ROBO A NEGOCIO SIN VIOLENCIA","396"
"2016","Enero","GUSTAVO A. MADERO","VIOLENCIA FAMILIAR","456"
"2016","Febrero","GUSTAVO A. MADERO","VIOLENCIA FAMILIAR","450"
"2016","Julio","GUSTAVO A. MADERO","VIOLENCIA FAMILIAR","453"
"2016","Junio","GUSTAVO A. MADERO","VIOLENCIA FAMILIAR","501"
"2016","Marzo","GUSTAVO A. MADERO","VIOLENCIA FAMILIAR","513"
"2016","Mayo","GUSTAVO A. MADERO","VIOLENCIA FAMILIAR","573"
"2016","Noviembre","GUSTAVO A. MADERO","ROBO A NEGOCIO SIN VIOLENCIA","465"
"2016","Octubre","GUSTAVO A. MADERO","VIOLENCIA FAMILIAR","417"
