"anio_hecho","mes_hecho","tipo_delito_mas_comun","cantidad_delito_mas_comun"
"1906","Junio","VIOLENCIA FAMILIAR","3"
"1915","Septiembre","ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA","3"
"1915","Enero","FRAUDE","3"
"1930","Febrero","ROBO DE OBJETOS","3"
"1942","Octubre","VIOLENCIA FAMILIAR","3"
"1954","Mayo","TENTATIVA DE EXTORSION","3"
"1955","Febrero","ROBO A PASAJERO / CONDUCTOR DE TAXI CON VIOLENCIA","3"
"1955","Diciembre","ROBO A CASA HABITACION SIN VIOLENCIA","3"
"1956","Mayo","AMENAZAS","3"
"1956","Enero","FALSEDAD DE DECLARACIONES","3"
"1957","Enero","DENUNCIA DE HECHOS","3"
"1958","Octubre","ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA","3"
"1960","Mayo","DENUNCIA DE HECHOS","3"
"1962","Diciembre","ALLANAMIENTO DE MORADA","3"
"1964","Noviembre","NARCOMENUDEO POSESION SIMPLE","3"
"1965","Enero","LESIONES CULPOSAS POR CAIDA","3"
"1966","Septiembre","DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A BIENES INMUEBLES","3"
"1966","Marzo","DENUNCIA DE HECHOS","3"
"1969","Julio","INSOLVENCIA ALIMENTARIA","3"
"1969","Febrero","DENUNCIA DE HECHOS","3"
"1969","Agosto","ROBO DE ACCESORIOS DE AUTO","3"
"1970","Junio","AMENAZAS","3"
"1971","Noviembre","ABUSO DE AUTORIDAD","3"
"1972","Junio","AMENAZAS","3"
"1972","Julio","VIOLENCIA FAMILIAR","3"
"1972","Enero","ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA","3"
"1973","Septiembre","AMENAZAS","3"
"1974","Diciembre","ROBO DE OBJETOS","3"
"1975","Octubre","ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA","3"
"1975","Noviembre","VIOLACION","3"
"1975","Abril","BIGAMIA","3"
"1976","Octubre","ROBO DE DOCUMENTOS","3"
"1976","Junio","ROBO A NEGOCIO CON VIOLENCIA","3"
"1977","Septiembre","BIGAMIA","3"
"1978","Mayo","LESIONES CULPOSAS","3"
"1978","Junio","DENUNCIA DE HECHOS","3"
"1978","Agosto","DENUNCIA DE HECHOS","3"
"1979","Enero","DENUNCIA DE HECHOS","3"
"1980","Septiembre","ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA","3"
"1980","Diciembre","FRAUDE","3"
"1980","Abril","DENUNCIA DE HECHOS","3"
"1981","Septiembre","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","3"
"1981","Junio","DENUNCIA DE HECHOS","3"
"1982","Septiembre","ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA","3"
"1982","Junio","DENUNCIA DE HECHOS","3"
"1982","Abril","DENUNCIA DE HECHOS","3"
"1983","Octubre","AMENAZAS","3"
"1983","Marzo","ABUSO DE AUTORIDAD","3"
"1983","Junio","DENUNCIA DE HECHOS","3"
"1983","Febrero","FRAUDE","3"
"1983","Agosto","DENUNCIA DE HECHOS","3"
"1984","Noviembre","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","3"
"1984","Mayo","DAÑO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL","3"
"1984","Marzo","TENTATIVA DE EXTORSION","3"
"1984","Junio","LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION","3"
"1984","Febrero","ROBO DE ACCESORIOS DE AUTO","3"
"1984","Enero","DENUNCIA DE HECHOS","6"
"1984","Diciembre","ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA","3"
"1984","Abril","AMENAZAS","3"
"1985","Septiembre","ABUSO DE AUTORIDAD","3"
"1985","Octubre","VIOLENCIA FAMILIAR","3"
"1985","Febrero","DENUNCIA DE HECHOS","3"
"1985","Agosto","DISCRIMINACION","3"
"1986","Mayo","BIGAMIA","3"
"1986","Junio","ROBO DE OBJETOS","3"
"1987","Septiembre","DESPOJO","3"
"1987","Noviembre","ROBO DE DINERO","3"
"1987","Mayo","ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO","3"
"1987","Marzo","FRAUDE","3"
"1987","Junio","AMENAZAS","3"
"1987","Enero","DENUNCIA DE HECHOS","3"
"1987","Diciembre","FRAUDE","3"
"1988","Noviembre","TORTURA","3"
"1988","Marzo","FRAUDE","3"
"1988","Febrero","FRAUDE","3"
"1989","Septiembre","ABUSO DE AUTORIDAD","3"
"1989","Octubre","ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA","3"
"1989","Mayo","DENUNCIA DE HECHOS","3"
"1989","Febrero","DENUNCIA DE HECHOS","3"
"1989","Enero","FRAUDE","3"
"1989","Diciembre","FRAUDE","3"
"1989","Agosto","ABANDONO DE PERSONA","3"
"1990","Octubre","DENUNCIA DE HECHOS","3"
"1990","Noviembre","FRAUDE","3"
"1990","Marzo","ROBO A CASA HABITACION CON VIOLENCIA","3"
"1990","Febrero","FRAUDE","3"
"1990","Enero","DENUNCIA DE HECHOS","3"
"1990","Agosto","ROBO DE OBJETOS","6"
"1991","Septiembre","FRAUDE","3"
"1991","Julio","FRAUDE","3"
"1991","Febrero","DENUNCIA DE HECHOS","3"
"1991","Enero","DESPOJO","3"
"1991","Diciembre","USO DE DOCUMENTO FALSO","3"
"1991","Agosto","FRAUDE","6"
"1992","Septiembre","ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA","3"
"1992","Noviembre","FRAUDE","3"
"1992","Mayo","AMENAZAS","3"
"1992","Marzo","DENUNCIA DE HECHOS","3"
"1992","Junio","TORTURA","3"
"1992","Enero","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","3"
"1992","Agosto","TORTURA","9"
"1992","Abril","AMENAZAS","3"
"1993","Septiembre","FRAUDE","3"
"1993","Octubre","ROBO A PASAJERO A BORDO DE TRANSPORTE PÚBLICO CON VIOLENCIA","3"
"1993","Noviembre","TORTURA","3"
"1993","Mayo","DAÑO EN PROPIEDAD AJENA INTENCIONAL A BIENES INMUEBLES","3"
"1993","Junio","DENUNCIA DE HECHOS","3"
"1993","Julio","FRAUDE","3"
"1993","Febrero","INSOLVENCIA ALIMENTARIA","3"
"1993","Enero","TORTURA","3"
"1993","Diciembre","FRAUDE","3"
"1993","Agosto","FALSIFICACION DE DOCUMENTOS","3"
"1993","Abril","ABANDONO DE PERSONA","3"
"1994","Septiembre","TORTURA","6"
"1994","Octubre","DENUNCIA DE HECHOS","3"
"1994","Noviembre","DENUNCIA DE HECHOS","3"
"1994","Mayo","FRAUDE","3"
"1994","Marzo","DENUNCIA DE HECHOS","6"
"1994","Febrero","ROBO DE ACCESORIOS DE AUTO","3"
"1994","Diciembre","USO DE DOCUMENTO FALSO","3"
"1994","Abril","TORTURA","3"
"1995","Septiembre","DENUNCIA DE HECHOS","3"
"1995","Octubre","DENUNCIA DE HECHOS","3"
"1995","Noviembre","FRAUDE","3"
"1995","Mayo","DELITOS AMBIENTALES","3"
"1995","Marzo","FRAUDE","3"
