"anio_hecho","mes_hecho","tipo_delito_mas_comun","cantidad_delito_mas_comun"
"2016","Septiembre","VIOLENCIA FAMILIAR","4500"
"2016","Octubre","VIOLENCIA FAMILIAR","4431"
"2016","Noviembre","VIOLENCIA FAMILIAR","3897"
"2016","Mayo","VIOLENCIA FAMILIAR","5358"
"2016","Marzo","VIOLENCIA FAMILIAR","4812"
"2016","Junio","VIOLENCIA FAMILIAR","4500"
"2016","Julio","ROBO DE OBJETOS","4572"
"2016","Febrero","VIOLENCIA FAMILIAR","4497"
"2016","Enero","VIOLENCIA FAMILIAR","4260"
"2016","Diciembre","VIOLENCIA FAMILIAR","4020"
"2016","Agosto","ROBO DE OBJETOS","4848"
"2016","Abril","VIOLENCIA FAMILIAR","5007"
"2017","Septiembre","VIOLENCIA FAMILIAR","4683"
"2017","Octubre","VIOLENCIA FAMILIAR","4794"
"2017","Noviembre","VIOLENCIA FAMILIAR","4287"
"2017","Mayo","VIOLENCIA FAMILIAR","5094"
"2017","Marzo","VIOLENCIA FAMILIAR","4674"
"2017","Junio","VIOLENCIA FAMILIAR","4959"
"2017","Julio","VIOLENCIA FAMILIAR","4614"
"2017","Febrero","VIOLENCIA FAMILIAR","4140"
"2017","Enero","VIOLENCIA FAMILIAR","4323"
"2017","Diciembre","VIOLENCIA FAMILIAR","4293"
"2017","Agosto","VIOLENCIA FAMILIAR","5076"
"2017","Abril","ROBO DE OBJETOS","4929"
"2018","Septiembre","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","6369"
"2018","Octubre","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","6945"
"2018","Noviembre","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","6318"
"2018","Mayo","VIOLENCIA FAMILIAR","5601"
"2018","Marzo","VIOLENCIA FAMILIAR","5478"
"2018","Junio","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","5331"
"2018","Julio","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","5607"
"2018","Febrero","VIOLENCIA FAMILIAR","4764"
"2018","Enero","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","4704"
"2018","Diciembre","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","4569"
"2018","Agosto","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","5961"
"2018","Abril","VIOLENCIA FAMILIAR","5469"
"NA","NA","DENUNCIA DE HECHOS","63"
